bookID,title,authors,average_rating,isbn13,language_code,num_pages,publication_date,publisher
30367,Riley in the Morning,Sandra Brown,3.44,9789792234794,eng,224,2008,Gramedia Pustaka Utama
4796,The Winter of Our Discontent,John Steinbeck/Susan Shillinglaw,3.99,9780143039488,eng,336,2008,Penguin Classics
30348,A Whole New Light,Sandra Brown,3.55,9780553297836,eng,227,2008,Bantam (Fanfare Imprint)
30318,Embracing Love  Vol. 6,Youka Nitta,4.33,9781933440194,eng,216,2008,Be Beautiful
7739,Gulliver's Travels,Gill Harvey/Jonathan Swift,3.35,9780794503291,eng,64,2008,Usborne Books
36550,Antes que anochezca,Reinaldo Arenas,4.17,9788483105023,spa,343,2008,TusQuets
31638,The Ultramarines Omnibus (Ultramarines #1-3),Graham McNeill,3.97,9781844164035,eng,768,2008,Games Workshop
2836,Bridge to Terabithia,Katherine Paterson/Donna Diamond,4.0,9780060734015,en-US,191,2008,HarperTeen
2749,Microserfs,Douglas Coupland,3.88,9780007179817,eng,371,2008,Harper Perennial
4394,Collected Novellas,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.0,9780060932664,eng,288,2008,Harper Perennial Modern Classics
17730,House of Mirth,Edith Wharton,3.95,9781600962202,eng,324,2008,Waking Lion Press
12375,Tom Ford,Graydon Carter/Tom Ford/Anna Wintour/Bridget Foley,4.47,9780847826698,eng,416,2008,Rizzoli
